exp_name;algorithm;env_name;ep_len;num_agent_train_steps_per_iter;n_iter;batch_size;eval_batch_size;train_batch_size;n_layers;size;learning_rate;max_replay_buffer_size;reward_mean;reward_std;expert_reward
train_steps_per_iter_humanoid1000_1;bc;humanoidv2;50;1000;1;1000;200;100;2;64;0.005;1000000;259.6;90.07;10344.52
train_steps_per_iter_humanoid1000_9;bc;humanoidv2;50;1000;1;1000;200;100;2;64;0.005;1000000;250.25;81.37;10344.52
train_steps_per_iter_humanoid1000_10;bc;humanoidv2;55;1000;1;1000;200;100;2;64;0.005;1000000;277.88;51.83;10344.52
train_steps_per_iter_humanoid1000_8;bc;humanoidv2;57;1000;1;1000;200;100;2;64;0.005;1000000;285.35;78.31;10344.52
train_steps_per_iter_humanoid1000_4;bc;humanoidv2;52;1000;1;1000;200;100;2;64;0.005;1000000;273.44;70.28;10344.52
train_steps_per_iter_humanoid1000_6;bc;humanoidv2;50;1000;1;1000;200;100;2;64;0.005;1000000;263.63;16.96;10344.52
train_steps_per_iter_humanoid1000_7;bc;humanoidv2;40;1000;1;1000;200;100;2;64;0.005;1000000;205.93;11.11;10344.52
train_steps_per_iter_humanoid1000_2;bc;humanoidv2;46;1000;1;1000;200;100;2;64;0.005;1000000;236.92;61.63;10344.52
train_steps_per_iter_humanoid1000_5;bc;humanoidv2;51;1000;1;1000;200;100;2;64;0.005;1000000;279.31;81.41;10344.52
train_steps_per_iter_humanoid1000_3;bc;humanoidv2;63;1000;1;1000;200;100;2;64;0.005;1000000;313.8;93.03;10344.52
train_steps_per_iter_humanoid5000_3;bc;humanoidv2;49;5000;1;1000;200;100;2;64;0.005;1000000;257.42;31.36;10344.52
train_steps_per_iter_humanoid5000_10;bc;humanoidv2;57;5000;1;1000;200;100;2;64;0.005;1000000;311.49;89.65;10344.52
train_steps_per_iter_humanoid5000_8;bc;humanoidv2;77;5000;1;1000;200;100;2;64;0.005;1000000;412.55;78.43;10344.52
